+----------------------------------------------------------+----------------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
|                         Instance                         |                             Module                             | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP Blocks |
|                 gr1.gr1_int.rfwft                        |                                network_buffer_4_fifo_0_rd_fwft |          8 |          8 |       0 |    0 |    8 |      0 |      0 |          0 |
|                 grss.gpe.rdpe                            |                               network_buffer_4_fifo_0_rd_pe_ss |          3 |          3 |       0 |    0 |   12 |      0 |      0 |          0 |
|                 grss.rsts                                |                     network_buffer_4_fifo_0_rd_status_flags_ss |          1 |          1 |       0 |    0 |    2 |      0 |      0 |          0 |
|                   (grss.rsts)                            |                     network_buffer_4_fifo_0_rd_status_flags_ss |          0 |          0 |       0 |    0 |    2 |      0 |      0 |          0 |
|                   c1                                     |                              network_buffer_4_fifo_0_compare_1 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|                   c2                                     |                              network_buffer_4_fifo_0_compare_2 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |          0 |
|                 rpntr                                    |                            network_buffer_4_fifo_0_rd_bin_cntr |         39 |         39 |       0 |    0 |   18 |      0 |      0 |          0 |
|               gntv_or_sync_fifo.gl0.wr                   |                               network_buffer_4_fifo_0_wr_logic |         34 |         34 |       0 |    0 |   30 |      0 |      0 |          0 |
|                 gwss.gpf.wrpf                            |                               network_buffer_4_fifo_0_wr_pf_ss |          3 |          3 |       0 |    0 |   10 |      0 |      0 |          0 |
|                 gwss.wsts                                |                     network_buffer_4_fifo_0_wr_status_flags_ss |          4 |          4 |       0 |    0 |    2 |      0 |      0 |          0 |
|                   (gwss.wsts)                            |                     network_buffer_4_fifo_0_wr_status_flags_ss |          3 |          3 |       0 |    0 |    2 |      0 |      0 |          0 |
|                   c0                                     |                                network_buffer_4_fifo_0_compare |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|                   c1                                     |                              network_buffer_4_fifo_0_compare_0 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |          0 |
|                 wpntr                                    |                            network_buffer_4_fifo_0_wr_bin_cntr |         27 |         27 |       0 |    0 |   18 |      0 |      0 |          0 |
|               gntv_or_sync_fifo.mem                      |                                 network_buffer_4_fifo_0_memory |          0 |          0 |       0 |    0 |    1 |      0 |      1 |          0 |
